ID,Name,Probability,P10,P90,Type,mu,sigma,E[D]
T01,Scope creep,0.45,20000,60000,Threat,10.452793696870183,0.42862586188689616,37973.87725326729
T02,Resource issues,0.35,25000,75000,Threat,10.675937248184393,0.4286258618868955,47467.34656658416
T03,Technical debt,0.4,30000,90000,Threat,10.858258804978348,0.4286258618868955,56960.815879901
T04,Vendor problems,0.3,15000,50000,Threat,10.217791882247315,0.4697324854869585,30580.44973496184
T05,Quality issues,0.35,20000,65000,Threat,10.492815050706952,0.45985469021715614,40076.61270200716
T06,Timeline pressure,0.5,18000,55000,Threat,10.356607750546456,0.43578481637672056,34598.37358194102
T07,Integration challenges,0.25,35000,100000,Threat,10.98801440272089,0.4095902781924162,64337.40714527569
T08,Stakeholder changes,0.2,25000,80000,Threat,10.708206508753179,0.45380569969940876,49571.74609823238
O01,Team synergies,0.25,15000,45000,Opportunity,10.165111624418401,0.4286258618868955,28480.407939950448
O02,Tool automation,0.3,10000,35000,Opportunity,9.836721856223868,0.4887680691814378,21081.875492909254
